Filter&&&&&&&
&&&&&&&
Count - Column H&Column J&Column H&&&&&
&C-F&&&A,B&&&Total Result
level&computer&equal&human&computer&equal&human&
No experience&14&3&18&5&4&6&50
Amateur&5&2&31&2&1&18&59
Professional&1&&5&&1&3&10
Total Result&20&5&54&7&6&27&119
