Filter&&&&&
&&&&&
Average - rating&Column G&ans&&&
&C-F&&A,B&&Total Result
level&computer &human &computer &human &
No experience&3.3625&3.4512987013&3.0666666667&3.3020833333&3.325
Amateur&2.8630136986&3.2857142857&2.68&3.3470319635&3.0508474576
Professional&2.7068965517&2.9206349206&2.0476190476&3.1621621622&2.72
Total Result&3.065948856&3.3234501348&2.7762863535&3.3125&3.1382352941
