Filter&&&
&&&
Average - rating&ans&&
level&computer &human &Total Result
No experience&3.2434782609&3.3913043478&3.3173913043
Amateur&2.7981132075&3.2886792453&3.0433962264
Professional&2.43&3.01&2.72
Total Result&2.952293578&3.3064220183&3.1293577982
